,n,count
11,买家,10
241,外观设计时尚,10
448,支架,10
283,客服差劲,10
750,视频质量,10
91,内存空间,10
26,人,10
316,屏幕像素,11
834,问题热情,11
751,视频速度,11
154,售后垃圾,11
265,字,11
777,货物,11
646,畫質,12
494,服务到位,12
556,死机,12
423,手艺,12
596,物流差劲,12
365,录影,12
721,色差,12
69,信息,13
7,个头,13
150,品质信赖,13
689,结构,13
1,不合理,13
582,版本,13
483,时尚,13
622,电源,13
523,机子质量,13
621,电池容量,13
847,音响,14
18,产品外观,14
46,价格力,15
266,字体,15
24,亮度高,15
306,小米,16
773,質量,16
387,性价低,16
564,流量,16
42,价格低廉,16
175,噪音,16
239,外观设计大方,16
756,触感,16
350,店主,16
139,后置摄像头,16
450,效果力,16
781,质量力,16
126,发热量,16
595,物流垃圾,17
401,总体性价比,17
174,噪点,17
121,厂家,17
445,摄像头画面,17
844,音乐,18
338,工细,18
548,模具,19
484,时间,19
467,整体性价比,19
529,杂音,19
832,镜面,19
663,礼品,20
353,店家力,20
372,待机时间,20
776,货好,20
714,能力差,21
168,商家热情,21
15,产品力,21
505,机器性价比,21
463,整体功能,21
128,发货力,22
180,图像效果,22
502,机器外观,22
699,网速,22
341,差劲,22
153,售后力,22
629,电量,22
197,垃圾垃圾,22
744,视镜,23
642,画面质感,23
49,价格性价比,23
273,实物,23
72,信誉,24
210,外壳,24
216,外形时尚,25
282,客服垃圾,25
57,传输速度,25
486,显示器,26
511,机器运行,26
397,性能力,26
641,画面效果,26
598,物流速度力,27
643,画面质量,27
371,待机,28
292,客服服务态度热情,28
403,总体效果,28
327,屏幕显示效果,28
256,天气,28
413,手机像素,29
381,态度恶劣,29
442,摄像头效果,29
105,功能力,29
789,赠品,30
215,外形小巧,30
147,品牌质量,30
611,用料,31
459,数据,31
749,视频清晰度,32
328,屏幕清晰度,32
617,电影,32
254,大气,33
289,客服态度热情,33
512,机型,33
252,大屏,35
640,画面感,35
766,语音,38
826,销量,38
554,款式大方,40
17,产品垃圾,41
184,图案,42
257,天气热,42
569,温度,43
322,屏幕尺寸,43
609,用处,43
543,档次,44
21,产品性价比,44
589,物品,46
23,亮度,46
321,屏幕大气,47
737,视线,47
510,机器质量,50
339,工艺,52
383,态度热情,54
738,视觉,54
696,网络,55
525,机身,55
36,价位性价比,56
456,效率高,58
527,机身小巧,58
694,缝隙,59
799,软件,59
812,速度力,59
355,店家热情,59
860,颜值,62
498,服务态度热情,62
669,空间,64
62,体积小巧,65
503,机器小巧,66
684,细节,71
360,开机速度,72
189,图象,75
767,说明书,76
296,容量,76
739,视觉效果,77
701,老板,77
219,外表,82
833,问题,84
405,情况,88
740,视角,90
668,稳定性,95
437,摄像头像素,95
304,小巧,96
454,效果理想,96
249,夜视,98
134,口碑,102
117,卖家,105
238,外观设计,106
531,材质,107
828,镜头,109
425,技术,110
280,客服力,112
814,造型,115
310,尺寸,123
41,价格低,125
470,整体效果,126
196,垃圾,129
161,商家,129
752,角度,134
551,款型,135
813,速度慢,145
229,外观小巧,145
235,外观时尚,153
275,实用性,158
317,屏幕分辨率,160
63,体验,162
393,性比价,166
480,方面,171
540,样式,173
67,信号,173
644,界面,175
713,能力,176
227,外观大方,177
618,电池,184
761,评价,185
45,价格公道,187
748,视频效果,199
312,屏,202
487,显示屏,211
862,颜色,214
431,按键,215
743,视野,221
352,店家,224
402,总体感觉,228
579,照片,235
157,商品,236
469,整体感觉,236
104,功能全面,239
854,音质,253
152,售后,260
411,手感,266
723,色彩,266
149,品质,268
358,开机,277
576,灵敏度,291
80,光线,295
628,电脑,313
755,触屏,315
53,价钱,326
583,牌子,337
675,系统,353
536,样子,359
185,图片,368
144,品牌信赖,419
270,定位,434
228,外观大气,465
386,性价,472
820,配件,490
293,客服热情,502
577,热情,505
212,外形,508
513,机子,518
597,物流速度,524
48,价格合理,529
779,质感,547
394,性能,594
34,价位,703
96,分辨率,730
203,声音,744
593,物流公司服务态度,811
290,客服服务态度,819
99,力,941
553,款式,1128
407,感觉,1168
462,整体,1248
86,内存,1334
499,机器,1348
594,物流力,1539
868,高端大气,1622
143,品牌,1846
130,发货速度,2003
412,手机,2139
284,客服态度,2250
127,发货,2360
14,产品,2396
398,总体,2513
43,价格便宜,2518
633,画质,2993
436,摄像头,3390
224,外观,3828
279,客服,3828
745,视频,4270
313,屏幕,4537
74,像素,4595
495,服务态度,5546
40,价格,5662
592,物流,5786
177,图像,5890
811,速度,5895
391,性价高,7083
103,功能,7496
566,清晰度,7634
388,性价比,8056
377,态度,11342
635,画面,13232
449,效果,20034
780,质量,26652
